,driver_id,lap,race_id,position,lap_time,lap_milliseconds,lap_milliseconds_diff,label
0,20,1,841,1,1:38.109,98109,0.0,vettel_aust
1,20,2,841,1,1:33.006,93006,-5103.0,3
2,20,3,841,1,1:32.713,92713,-293.0,0
3,20,4,841,1,1:32.803,92803,90.0,4
4,20,5,841,1,1:32.342,92342,-461.0,0
5,20,6,841,1,1:32.605,92605,263.0,4
6,20,7,841,1,1:32.502,92502,-103.0,0
7,20,8,841,1,1:32.537,92537,35.0,4
8,20,9,841,1,1:33.240,93240,703.0,4
9,20,10,841,1,1:32.572,92572,-668.0,0
10,20,11,841,1,1:32.669,92669,97.0,4
11,20,12,841,1,1:32.902,92902,233.0,4
12,20,13,841,1,1:33.698,93698,796.0,4
13,20,14,841,3,1:52.075,112075,18377.0,1
14,20,15,841,4,1:38.385,98385,-13690.0,2
15,20,16,841,2,1:31.548,91548,-6837.0,3
16,20,17,841,1,1:30.800,90800,-748.0,0
17,20,18,841,1,1:31.810,91810,1010.0,4
18,20,19,841,1,1:31.018,91018,-792.0,0
19,20,20,841,1,1:31.055,91055,37.0,4
20,20,21,841,1,1:31.288,91288,233.0,4
21,20,22,841,1,1:31.084,91084,-204.0,0
22,20,23,841,1,1:30.875,90875,-209.0,0
23,20,24,841,1,1:32.240,92240,1365.0,4
24,20,25,841,1,1:31.699,91699,-541.0,0
25,20,26,841,1,1:31.328,91328,-371.0,0
26,20,27,841,1,1:31.568,91568,240.0,4
27,20,28,841,1,1:31.113,91113,-455.0,0
28,20,29,841,1,1:31.339,91339,226.0,4
29,20,30,841,1,1:31.054,91054,-285.0,0
30,20,31,841,1,1:31.707,91707,653.0,4
31,20,32,841,1,1:31.611,91611,-96.0,0
32,20,33,841,1,1:31.406,91406,-205.0,0
33,20,34,841,1,1:31.871,91871,465.0,4
34,20,35,841,1,1:32.597,92597,726.0,4
35,20,36,841,1,1:53.737,113737,21140.0,1
36,20,37,841,1,1:39.321,99321,-14416.0,2
37,20,38,841,1,1:33.632,93632,-5689.0,3
38,20,39,841,1,1:31.005,91005,-2627.0,0
39,20,40,841,1,1:30.530,90530,-475.0,0
40,20,41,841,1,1:30.140,90140,-390.0,0
41,20,42,841,1,1:30.419,90419,279.0,4
42,20,43,841,1,1:30.503,90503,84.0,4
43,20,44,841,1,1:29.844,89844,-659.0,0
44,20,45,841,1,1:30.470,90470,626.0,4
45,20,46,841,1,1:30.669,90669,199.0,4
46,20,47,841,1,1:30.297,90297,-372.0,0
47,20,48,841,1,1:30.471,90471,174.0,4
48,20,49,841,1,1:30.710,90710,239.0,4
49,20,50,841,1,1:30.732,90732,22.0,4
50,20,51,841,1,1:30.873,90873,141.0,4
51,20,52,841,1,1:31.087,91087,214.0,4
52,20,53,841,1,1:30.671,90671,-416.0,0
53,20,54,841,1,1:30.656,90656,-15.0,4
54,20,55,841,1,1:30.899,90899,243.0,4
55,20,56,841,1,1:29.962,89962,-937.0,0
56,20,57,841,1,1:30.516,90516,554.0,4
57,20,58,841,1,1:31.946,91946,1430.0,4
